3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
perfect g/4bp61j4dk3z04hji4wu618 ?	perfect 聖人不可犯錯是吧?
fast ep rmp g gji 86！	fast 跟軍師說啊！
vm06y94 overtime ，gj z8 u vu84	還在 overtime ，抒發一下
. w0 g/ ck4. 18 a83jo3g6ak7 close vu4？	歐漢升和歐巴馬有什麼 close 係？
5;32l4186jo3g6ak7 good tj3a86？	長到186有什麼 good 處嗎？
ao6 good tj3 ao3h6fm,4g42u4u6ek4ru.4vu;32l4su3	沒 good 處 每次鳥事第一個就想到你
vul3zo4dk3u3z.3ru3 5j; 5j/4eji6bp6ru.4 good	小費可以不給 裝中國人就 good
dk3s/6g4wj 1i vu/4-3xj/62u6t/65l4 fast fm ru.4u 	可能是突發性耳聾的徵兆 fast 去就醫
cj86g/  buy gp6ak7dk3u31l356？	學生 buy 什麼可以保值？
jo4gp6ak7z. ru8 u3vmp4xu04 x94yj/4y4u vu, jo vu03vu/4 high 2u ej/ t/6yji4u,4	為什麼不加以訓練 來從事一些危險性 high 的工程作業
small g6c.4m/6eji7+1 w96j0 gj4e.35p 2u cp32ji ..	small 時候遇過+1 台灣野狗真的很多..
184184ji3 good cold	爸爸我 good cold
5j/4vu/4w94rul4e93gp6ak7au/4y4 good	中興大學改甚麼名字 good
t2u6wj6 good y04，xu4m4ao32u4ru,6ek3	t的圖 good 讚，力與美的結合
su3e04a87z.3bl3eji4fm4ru.4 good	你幹嘛不繞過去就 good
fast 50 x8  xup61o4j3vu.  2/3dj94ru.4ul4fu0 dj94bk3	fast 點喇 林北午休 等會就要開會惹
su/4fu/45p cl4 y94 long large u42u03su3xu06fu3fu. 2. s04	年輕真好 再 long large 一點你連起秋都難
sl4294xu3y94 open partyz.3cj;42. 1j4vu/6	腦袋裡在 open party不晃都不行
g4ru,4bji4g4s83ak7 small ，jo6ck6ji32u4ru03vup ，su3wu/ 1j62l4	世界若是那麼 small ，為何我的減薪，你聽不到
1u04xu4g; 2u042u61u042; cp56 high a86?	便利商店的便當cp值 high 嗎?
xu03gj d042l4t4cj0 2k7sm3g/ z;4xul3y.3ej;42k7 photo 2k718 ej84	臉書看到喜歡的女生放了走光的 photo 的八卦
g. vu/6xu3 good eji su/4	収行李 good 過年
wu0 j;3 fast g;3vu04xul3，ji3ap7vm06u.3ru ru6dk3u3wl6?	天網 fast 上線了，我們還有幾集可以逃?
su/4rup41j6g42j ul3qi4t03 jo4ck4ul  push ru0350 ru4cj84?	年金不是都要破產 為何要 push 前瞻計劃?
yji4u04ek4qu6u42jo xl3bp6xu/3ru03tj eji6j06 good w8 2ji 	做這個比一堆老人領錢出國玩 good 太多
tj0 2u vm/ / short dj4/rup3gp u4dj42u sm3g/ y94vu;3g6ak7？	穿低胸/ short 褲/緊身衣褲的女生在想什麼？
ep cji6s061u3fu3x96u6j0  good cp32ji ao6vu 	跟越南比起來台灣 good 很多沒錯
gji s04t 2u 2j hjo au03y4ru3gji cj8  large fu062j/ vu y9 cl3t 2u4wu0 xj/6bp6q8 	說難吃的都催眠自己說花 large 錢東西才好吃的天龍人吧
j03g;3ul4 buy 1j6ul4ep ji3fu;3	晚上要 buy 不要跟我搶
2;41u/  wu/ 5j/ njo4 long ru;3cj842u4m3fu4，ru.45 2l4wji6j061u/ g4ao6y941i62k7	當兵 聽中隊 long 講話的語氣，就知道他玩兵是沒再怕的
53u.3 good 1u/ su/6c96y94fm0 j94g/ m06 5p 1j65 2l4e9 gji gp6ak7-.-	只有 good 冰冰還再圈外聲援 真不知道該說甚麼-.-
d8 zo 2u04ao4y3soso 2ul4tj x96e9 yp3104? o'_'o	咖啡店妹紫derㄋㄟㄋㄟ fast 掉出來該怎辦? o'_'o
u456gji ji3cl4ru4ai4ji3 good ru4ai4，ji32;4vu84a83g;45j03w96，b06c.45j03w.7	一直說我好寂寞我 good 寂寞，我當下馬上轉台，然後轉頭
FBvu04y94g41j6g4z.  in xu.6u04g/ b4tj4zj6xk7?	FB現在是不是不 in 留言生日祝福了?
g/ b4 fast ul4 ji3g/ b4u6ao6bp65 2l4 g4w94u06xu;683	生日 fast 樂 我生日也沒人知道 世態炎涼阿
ql6cji4fm4t;4 zp g.3 fast xji4~	跑過去唱 分手 fast 樂~
fm06xu06cl4cj06g4ru84xk4zj6tl g4 good	全聯好還是家樂福超市 good
fm06xu06ej;4rm cl4，204tl3s06 buy	全聯廣告好，但超難 buy
ru.4ej9 ej9 29 y94w9 j0 ru.4 good xk7 x;4zj6fu06ej03a8 	就乖乖呆在台灣就 good 了 浪費錢幹麻
su06ru4 small g6wu/ ao6c04rul4	年紀 small 時聽沒感覺
283u fu; xu/6ru/4u4vu84qu3vul4 good ,5p fu xul3n4c.4jp4wu6dj94cp32ji ...	打一槍冷靜一下比較 good ,真吃了以後問題會很多...
good s06bp6 easy 1u4qu04 ru.4bj6wj/6cl3sm3bp62j 1o458 s06t n3n3u6u;4	good 男人 easy 被騙 就如同好女人都被渣男吃死死一樣
y94d04 small gji  283g.3t/  cjo6jo45j/4	在看 small 說 打手槍 回味中
s/61j4m/4g;4dk4e9 2ji  good	能不用上課該多 good
ji3vu04y94 good vu;3cjo6fm42; cj86g/ QQ	我現在 good 想回去當學生QQ
a/4wu0 ul3fm 2u4cjo4xul4 good rup35;4i4	明天要去約會了 good 緊張喔
small cj;6ej8 jo4g6ak7rul4 small cj;6ej8 	small 黃瓜為什麼叫 small 黃瓜
u.3ao6u.4zo6tk4fm b41p dk3u3yji4g6ak7 job 2u418 ej84?	有沒有肥宅去日本可以做什麼 job 的八卦?
rul4 small u/  fast e93eji6cl4 eji6fu6 eji6ek  1j6ul4y942;4vu.4nj6x84qu04y7	叫 small 英 fast 改國號 國旗 國歌 不要再當臭俗辣騙子
good x96j32k72u04u/3cji6x94cji6ao6e/3？	good 萊塢的電影越來越沒梗？
ji3gji 1j4y94qu4jp3，el42j0  player 2j n94y94a83jp3	我說不在屁眼，高端 player 都塞在馬眼
u.3ao6 free mp4xul6xu3ql6ep m06jo4u4u;42u6ej84？	有沒 free 運料理包跟原味一樣的卦？
jo3u8 ，z.3eji42842ji gj32. fu84dk4vu4fu42u6，q06t86d.3fu4cp3 important	有呀，不過大多數都客客氣氣的，盤查口氣很 important
54gl35o4y mp42j/4y94zo 1l4xu4ep  match ej/ u4ao6jo3 match	至少這次運動在非暴力跟 match 公益沒有 match
u.4ao6u.3su06fu/4g6z.32j/3， long large y9 2j/32u4g4	有沒有年輕時不懂， long large 才懂的事
buy 5j/ cj86aup6eji6cj/6g6y4dj94tjo6qul4，cj06rm,62o3y4fu3yji4xul4g04y4	buy 中華民國紅十字會郵票，還覺得自己做了善事
vu04y94dk3s/6wu6yjo4 safe 2u4	現在可能是最 safe 的
u62u,6xjp6u,410 2u4 job so4m/3??	台鐵輪夜班的 job 內容??
1j4eji4BZwu/ gji y94fu0 z8  new u.6cjo xul4	不過BZ聽說在開發 new 遊戲了
“qj3wj/4cj84”5j/ s83ek4y4up wu/ fu3x94yjo4 weird ？	“普通話”中哪個字音聽起來最 weird ？
out m/4h6xul3 vu04y945j/ eji6 in rul4a83sj/6 i 1j42jo4 wu6a83sj/6	out 用詞了 現在中國 in 叫螞膿 喔不對 是碼農
large Gao41;41u072u6tp4u,4y94vu;3gp6ak7	large G妹旁邊的襯葉在想什麼
yji31u0753g4rul32j41j42jo4，ful6 good ，5l4qu04d0 fu3x94u,3g45/4ao4。	左邊只是角度不對，喬 good ，照騙看起來也是正妹。
wj/62u03g4ru,3gk4rul g.3j04ep bp6ai4 background	重點是她社交手腕跟人脈 background
cp3dj94h9 y4au6dk3u3yji4gp6ak7 job	很會猜字謎可以做什麼 job
so4vu, 54c.4wu6s86fm4h94g4t;6 sell u ru0430a84????	那些之後是拿去菜市場 sell 一件30嗎????
1i fu06ru.4dji4jo3 push	發錢就會有 push
good ul42u6u.4ji3s06eji4 good a84，xu;3vu/ fu fu06h96t;4eji4。	good 樂迪有我難過 good 嗎，兩星期前才唱過。
u.3ao6u.4xu03 large vm/  small sm3fm6bp62k7186ej84	有沒有臉 large 胸 small 女巨人的八卦
ru6！fu ai4dl3u.3ao6u.4 close j m065j4aup62j g4g/ cji62u418 	急！期末考有沒有 close 於原住民都市生活的八
y94c.4cji3tk 50 ru;42/ fu. s931u07yj3ru, .s062k7ru.4y94xj4rul 2u3vu842/3 pull ej/ 	在後火車站紅燈區那邊阻街.男的就在路橋底下等 pull 工
jo4g6ak7rup m/  small gji dk3u3u456z0 q9 ?	為什麼金庸 small 說可以一直翻拍?
s87ek4 in m3yjo4u6u03?	哪個 in 語最礙眼?
cl3cl3rul4，ji3 small g6c.4ru.4wu6ao6bp6rul nji3u3	好好教，我 small 時候就是沒人教所以
u.4ao6u.35/ ao4q9 5l4 background 2. wu6t.32u618 ej84?	有沒有正妹拍照 background 都是醜的八卦?
c96 good ji3u.4 ji3vu84u6g.3fu/6ek 	還 good 我有 我下一首情歌
ji3hji c.4u6h61u4bp6gji n jp6wu6eji6 small xul4	我最後一次被人說斯文是國 small 了
cp32ji sm3g/ ru.4g45k4u;483 vu;3ul4 good tj3u.41j4vu;3t/6jo6s06sm3q/6u.3	很多女生就是這樣啊 想要 good 處又不想成為男女朋友
ji386 gj04q9  large tk3a832u ~	我啊 專拍 large 尺碼的~
u.3ao6u.42u/3ru6 card 2u 18 ej84?	有沒有頂級 card 的八卦?
su3vu;3vu;3d04m/4vup4m/4fu83 buy u3rm wu6gp6ak7u;42u6e03rm,6	你想想看用信用卡 buy 汽車是什麼樣的感覺
bp4g6ru,7zj4rup41u04xu4g; 2u042u 2u04m06 good a87	認識家附近便利商店的店員 good 嗎
fm06ru4ep y/4ck6ek62.4 s93ek4 good ?	拳擊跟綜合格鬥 哪個 good ?
1u32j4cj06g4283g.3t/  good	肥宅還是打手槍 good
fm  buy 18 ej84ru/4cj8 g84x942;3	去 buy 八卦鏡化煞來擋
5/ 54ru/ ru3ru4 good a83?	政治經濟系 good 嗎?
gji  good wu/ rul4"rm,6t/6"ru/ su06 ru;3s04wu/ rul4"ep z/4"fu/ su/4	說 good 聽叫"覺醒"青年 講難聽叫"跟風"青年
buy Luxgen2k7bp6vu04y94vu;3gp6ak7？	buy Luxgen的人現在想什麼？
buy 5k45j/4rm 5p 2k7cp32u. xu03，su/4dk4fu6rul3w8 tk 	buy 這種車真的很丟臉，寧可騎腳踏車
m/4g.3ru ai6su3fu4j061j4ru.4 good xk7vu04y94xu06ps2. u.4g.3ru ai6su3fu4xul3	用手機模擬器玩不就 good 了現在連ps都有手機模擬器了
204ru; yl3ru.4vm,62u04xul4，1j6eji41u3w9 j0 2u cj/6t032;3294vm,6 good 2u42ji 	淡江早就學店了，不過比台灣的共產黨大學 good 的多
jo3ao6u.4 overtime fu06fm,4xu/32u 1u3rm,6gl42u4186ej84	有沒有 overtime 錢卻領的比較少的八卦
w8 ru.4dk3u3ru,6g/3tl32ji bp6xu4 cost 2k7	他就可以節省超多人力 cost 的
sj65j/3DNA job 2l4n3e; cl4s/6u3	奴種DNA job 到死剛好而已
jo4gp6ak7cefirod04fu3x94ru.4rm,62o3wu6u.4ru03bp6 open 2u4	為什麼cefiro看起來就覺得是有錢人 open 的
1j6g4 xu04g.6sm3cp3 normal su3y94gji g.6sm4ap7ul3np 77xji6	不是 戀熟女很 normal 你再說熟女們要森77囉
u.4ao6u.4 idol g/ u. ul4cjo4204e;4fup6ck6wul4a832u 18 ej84	有沒有 idol 聲優要會彈鋼琴和跳馬的八卦
5; ru035j sji4qu6bp6u,3g42/32l4ru,3 fast 1u/4n3xul3h96e035/ 1u04	張柬之那批人也是等到她 fast 病死了才敢政變
nj4gk4ru03j03g;4u.32ji404bj6ej04 small sul32ul4vu84x96fm,4g6dj94d0 1j62l4su03eji4fm 	宿舍前晚上有點暗如果 small 鳥掉下來確實會看不到碾過去
su3eji6g.3i ，ql65o4ak7 fast	你國手喔，跑這麼 fast
u.3bp6x8 eji4zo ru g;4ru. g/ u 2k7 pull cj04a83？	有人拉過飛機上救生衣的 pull 環嗎？
large fu;62ji32l4u4ejo42u3vu84yp3ak7104	large 強躲到衣櫃底下怎麼辦
u.4zp62/3ru6i4 u6yjo bp6y94 share u. m45/ 2ji vu;3n3 2. c96nj04u.3ru.4	有分等級喔 一堆人在 share 憂鬱症多想死 都還算有救
n0  small su3vm04wj6s/6xu4u.3jp42u4?	三 small 你選圖能力有問題?
fm4 buy 1/2...cp3qu06u7..	去 buy 1/2...很便宜..
yj/4vul32l4 large s931p dk41p yjo4ao6u.3m/4?	從小到 large 哪本課本最沒有用?
1j65 2l4，5 5 2l4 large au04e/ wul41i6c06s06fu 2k7ru6qup3qp 	不知道，只知道 large 麵羹超爆幹難吃的極品噴
d0 2l4 good dl 2u4yji4yji4qup3284ru8 dji4bj6ck6yji4?	看到 good 尻的做作品大家會如何做?
fm4s061j4103 good a87	去南部板 good 嗎
1j4vu;4 high u/4294vm,6g/ qup3vu/6u04ak7t84	不像 high 應大學生品行這麼差
2l42u3 sell g6ak72u6？（5p4jp4fm06，94vup 1u3？）	到底 sell 什麼的？（填問卷，愛心筆？）
j ej3ru 2u4g/ 56fu4u.31u3vul4 large a87?	烏骨雞的生殖器有比較 large 嗎?
yp3ak7dj94rm,62k6tp6、 high xu;4bp6cjo4u4fu32j/4g.3gj4？5o4ek4jp4wu6u6w8 	怎麼會覺得陳、 high 兩人會一起動手術？這個問題也太
w94-4sm3c96ep s06u.3wj/6rm z. yji4942u ru xm42ji  high ?	大二女孩跟男友同居不做愛的機率多 high ?
aup65j353g42.45/ 2u4 tool jo6ru04eji6fu/45j4a94w9 zp4y7	民主只是鬥爭的 tool 為建國清除賣台份子
vu6zj6y3 large n8 1u4wu6n83gp6ak7x8 ？	習包子 large 撒幣是撒什麼啦？
vm,6g/ yj j 5l3z;65j/4 good a84？	學生租屋找房仲 good 嗎？
5j/4ru,4 good rm4ru.4u.4jp42u41j4q845l3zj 2u bp6，u04ru,6ul ul4cl3cl4fu0 ru.4wu6	仲介 good 處就有問題不怕找不的人，但契約要好好簽就是
n03vm03fu/4vu0 gji  vu6zj6y3 large n831u4	參選請先說 習包子 large 撒幣
ej04ej; d.4u.3g6ak7wu6qu6j94w.6cj06 cheap 2k7	觀光區有什麼是比外頭還 cheap 的
n4j0 c96 good 187～	台灣還 good 吧～
u6qu0 2u vm/ 1i6bj3u4qu0 bk4dj4qu4ej3ru4xji32. ao6wj6 ao6wj6ru.4ejp3 good a84	一篇低胸爆乳一篇熱褲屁股結果都沒圖 沒圖就滾 good 嗎
cl3vu;4ful u6xu4u vm4ep yj/ wj/3ao6u.3 close vu4g42k7	好像搞一例一休跟總統沒有 close 係似的
jo6ck4 new 1o3g41j4rul4yji su.3w961o3 ru03t/ su.31o3g4	為何 new 北市不叫作紐台北 簡稱紐北市
1o4wu6aj4ru.4 good xul31j4m/42j/3	背題目就 good 了不用懂
1j4s/6，u. vu.4ao6 close vu42u4tj 1j4xul3w.7， 84q84fu404u3gji au/6。	不能，優秀沒 close 係的出不了頭， 阿帕契案已說明。
good vu;3vu04su3 if xu;4g.32j cp3cl4wu/ 	good 想見你 if 兩首都很好聽
g;42u4 large vm/62ji fu. ?	上帝 large 能多秋?
ru3wji6rul3 high ru gj941u04gp t/6x83u84bp6	給牠咬 high 機率變身成喇牙人
dl fu;3dl 2l4 open ru 	尻槍尻到 open 機
ctrl+u user xu,41ul31i 96g6ru0 yjo4ru.32k7so4ek3	ctrl+u user 列表發呆時間最久的那個
c06 rul4su3ao4ru;35j/4jp6 good a87	幹 叫你妹講中文 good 嗎
z; vup  dl30zp4 professor u,31j4e032; su3 cjo41o4cj86vul4ul4w06	放心 考0分 professor 也不敢當你 會被學校約談
good x872jo41j4fu3 ji3vm06wu694su32 	good 啦對不起 我還是愛你ㄉ
good ru3ek42. 2;72l4jo4jo xo7 tl gj;  ai6sl4vm,6g/ c96wu622k	good 幾個都當到立委勒 超爽 無腦學生還是22k
bk45j/4eji6q;6zj6ql4ai4cj84,w96q;6zj6ru;4u.4 new 2k7a932u03a84	若中國房市泡沫化,台房市將有 new 的買點嗎
vu;3h bj4ru3ji32u6	想ㄘ small 月給我的
ej03 qu 5k4qu0 jp65;4el32l4 dinner vu;3fu 2u,6103gl4	幹 被這篇文章搞到 dinner 想吃鐵板燒
"e0  u4ek4up ao6ap  good "	"幹 一個音沒悶 good "
u.4 close vu4ru.4ao6 close vu4	有 close 係就沒 close 係
ao3ru62. 283ej94ru.4 good xul486....u03u6j04ru62j ao6jp4wu6	每集都打怪就 good 了啊....演一萬集都沒問題
Twice2u vu/6t/6g41j6g4w8  full xk7?	Twice的行程是不是太 full 了?
good vu;3wu03Kata Mara2u4s93y3	good 想舔Kata Mara的奶子
dl w942ji ，jp4jp4bp6gj942ul3 large 2u4q/6u.3ap7ru.45 2l4	尻太多，問問人帥屌 large 的朋友們就知道
jo3u6yj/4103ru.4e.4xul3，c96dk3u3 pull w96fu6w8 ru, aj4bp6fu4	有台綜版就夠了，還可以 pull 抬其他節目人氣
zo6596tl3 easy 1i6vu4cl3a86 dji4gji u045j/3cj841ul3g6su3ao6m/4vup xul3ru,3eji 	肥宅超 easy 爆氣好嗎 會說這種話表示你沒用心了解過
5; j6ru4fm 286ej03 long 2u y4ul 1i6vu6w94n94dj94yp3u;4?	張無忌去打館 long 的自由搏擊大賽會怎樣?
xl3 old 2k7ck6-4ck61u/45j; 2u6e9 n4su,4ek4 safe ???	老 old 的核二和拼裝的核四哪個 safe ???
sell eo3q0 y3，ao6bp6194ru84，ru, ru6ai6z83xu.62j/4	sell 給潘仔，沒人敗家，階級無法流動
jo4g86ru/3hjo41j4q86dj0 5/3 video POtj x96?	為啥警察不把完整 video PO出來?
g0  small x8  gp6ak7nj04q06286j3t	山 small 啦 什麼算盤打五t
b41p3c06eji6q8  ej; 5j/ eji6ru.4dk3u3 sell z0 	日本韓國吧 光中國就可以 sell 翻
overtime 、ru;3rup cp3562k7gji yjo3a83？	overtime 、獎金很值得說嘴嗎？
yj/ 1u3 overtime ao6ru03x962o3cl4	總比 overtime 沒錢來得好
284ru8 fu  breakfast qo4g6ak7m6xji4su3	大家吃 breakfast 配什麼娛樂呢
zo62j4zj4yk6fu 2j/ vu ru.4 good nji3n42945j4ru04d; 2u62j3y7dp3u06t u 2j6	肥宅負責吃東西就 good 所以帶著健康的肚子狠狠吃一頓
ru4vm4ru0 t6 good sm3c96562k7e/4cl42u6 su/6djo3j4x04	繼續堅持 good 女孩值得更好的 寧缺勿濫
( w961o31p3bp61ul3g4:" good c94vu. !!" )	( 台北本人表示:" good 害羞!!" )
zo62j4ap4vu04y94cj06ao6cj062l3eji4ru.4 out x8 !	肥宅們現在還沒環島過就 out 啦!
g032u04qu xu4tk ，ru b065k4ak72ji wj/4 good ，rul42k7e032j/4	閃電霹靂車，居然這麼多同 good ，覺得感動
ul4njo4 pay high a86	樂隊 pay high 嗎
ao6wj6ejp3fm4 low fu831i x8 	沒圖滾去 low 卡發喇
1j4gl3wu6284g4，53u.3su3u4ek4bp6tj4xu3。ej/ g6cp3 long ，fu/4yl3el32l4	不少是大事，只有你一個人處理。工時很 long ，清早搞到
eji wu,  large hot sell sell j06bk3	鍋貼 large hot sell sell 完惹
tl3cl45j04，d.42l4zo4xm41up fu/4nj/  good yj04。	超好賺，扣倒菲律賓輕鬆 good 賺。
284ru8 2. cp3d0 2u6 open !!ji32j/3!!1j3ek3ej03??ru03	大家都很看的 open !!我懂!!補個幹??錢
ji3rm,62o3su3fup y4fm eji u6h6y94vu845o4vu, qu/6xjp6dji4qu3rul4 good	我覺得你親自去過一次再下這些評論會比較 good
ek au/6 C large 2ul3	歌名 C large 屌
jo6g6ak7w96j0 2u yjo4z042842ji 1j6dj94qu4ej/ 1j4 long vu; ？	為什麼台灣的罪犯大多不會被公佈 long 相？
j04u xj3t6 long 2o3vu;4 bad 204 xj4bp6u4cj/ -6g;4 vm/ 2u4283	萬一魯蛇 long 得像 bad 蛋 路人一哄而上 兄弟打
su3ru03hjp6y94ao3eji61u4hjp6y94w9 j0 xu4xm4 high ，su3cjo4hjp6s93?	你錢存在美國比存在台灣利率 high ，你會存哪?
ptt2u fm06q.3y4xul4u.32ji  large ?	ptt的全部資料有多 large ?
1u4z/ 5 m4 large u62u032u03	比楓之谷 large 一點點
g u,6 high !vm06t;6u/4!xl3u,6u.4 high u.4e/3	師爺 high !縣長硬!老爺又 high 又硬
cold 2l41j4vu;3g;3294cl6	cold 到不想上大號
1;  tool bp6QQ	幫 tool 人QQ
vup su/4 fast xul6k3 sj4z8 u 1u4	新年 fast 樂阿 怒發一波
vu j;4 new u6su062j4dk3u3 buy vup tk 	希望 new 一年度可以 buy 新車
yji42u4vm,42u/4cjo4u.3 good ru,6xji3	做的決定會有 good 結果
vu j;4vu;4aup6ap41u/4qu/60 0  fast xji4u4g/ 	希望鄉民們平平安安 fast 樂一生
gl4xup6ej/ zj7 good vu,6	少林功夫 good 耶
2;71u/ ,gji4g4, job 2k7ej/4wj/62ji4	當兵,碩士, job 的共同點
gp6ak7g6c.4fu0 g3u4542l4fu06cp3 important	什麼時候開始意識到錢很 important
normal eji6aup62j e9 1835j/4cj86aup6eji6gp zp45/4n 2ul4	normal 國民都該把中華民國身分證撕掉
wu/ gji  open 5o4n4tk ul 1;3w.7rup 	聽說 open 這台車要綁頭巾
cl4ru03ji3rup wu0 ao6jo3t  lunch ……	好險我今天沒有吃 lunch ……
good ，c04vu,4su32k7e03vu,4	good ，感謝你的感謝
ek4jo4ao6t 2l4ql au042u6dk3xu06wj/6vup su/4 fast xji4！！	各位沒吃到泡麵的可憐蟲新年 fast 樂！！
184g6ru04wu, tj x96qu3rm,6 good	把時間貼出來比較 good
dji4fu ，204z.3dj94zj6ru03， small g6c.4ru8 bp61i6vul3c96y7fu jo vu03	會吃，但不會包錢， small 時候家人怕小孩子吃危險
1u04xu4g; 2u042u04mp6cp3vup cj4a 	便利商店店員很辛苦 good ㄇ
vup su06 fast ul4 g. 2l4 c04vu,4	新年 fast 樂 收到 感謝
bp6xo4jo6g6ak71j4vu/6vu;4fu; 54vul vu u u;4 control 284vul3	人類為什麼不行像控制呼吸一樣 control 大小
j6z83 control ru.4g4284vul3qu06g rup4 su3vu;3jp4g6ak7ej84？	無法 control 就是大小便失禁 你想問什麼卦？
xu03gj tj vu04u4yjo  cheap g.3ru dj;4rm 	臉書出現一堆 cheap 手機廣告
vu8419  ugly bj3t.3s06	假掰 ugly 女醜男
jp4u6vu84 u6j0 fu 2842j cjo4g4m/3hji  ugly g4gjo6	問一下 台灣七大都會市容最 ugly 是誰
n0 tj/61p3x96ru.4mp6xup6bp62u4u4284t/6，vu;4mp6xup6cp3 normal	三重本來就雲林人第一大城，像雲林很 normal
vu/4u,42u6 close vu4，ru.4vu;4z83x;61j4m/4z8 qul4	行業的 close 係，就像髮廊不用發票
ao3eji6284cj84ru.4u.4 sell xul3，su3g4y94jp4gj; 2u6？	美國大華就有 sell 了，你是在問爽的？
su3ap45k4nji t.4596，1j6ul4u4up6ji3xl3qi6xul3 good a83	你們這些臭宅，不要意淫我老婆了 good 嗎
5. ej/ xu4wu6a06ru;42u6，w03rm,62k6 high cji4m6rul 2k71u3vul4 good	周功力是蠻強的，但覺得 high 或喻教的比較 good
d0 qu0 a931/ 103ru.4 good xk7x87 2j su04u4g4ru3xk7	看片買平板就 good 了啦 都廿一世紀了
58 xk7 bl42l4 buy j03njp u6nj04u g6so42j nj04	查了 繞道 buy 晚餐也算 ㄧ small 時內都算
u6ek  large g4zj41; 2u cl3a83	台哥 large 是富邦的好嗎
1u32j4al cl41u3 good zo4i7u03gp u45/3ek3u0 g41u3596vu;4~~ y04！！	肥宅貓好肥 good 廢喔眼神一整個厭世肥宅樣~~ 讚！！
up jo6w96j0 j4ru,7 cheap 1i6al6u.4 good ...	因為台灣物價 cheap 服務又 good ...
qu njo6j;42u  tool bp6	被遺忘的 tool 人
weird z8 up ep su31j4u u;4ru.4rul4xj04gji ji ?	weird 發音跟你不一樣就叫亂說喔?
u.3ao6u.3 small 2u/ 2; xu32k7dj/42u4g;4gjo3su,4ej032k7186ej84？	有沒有 small 叮噹裡的空地上水泥管的八卦？
fu eji yjo4ejo42k7 breakfast ?	吃過最貴的 breakfast ?
pull xc041j32u ao6wl3h0  ao6ru4hji4120 1l32l4 fast n3	pull x漢堡的某套餐 沒記錯120 飽到 fast 死
vm,6ao4ep ji32u4 good ru.32u03fu  breakfast	學妹跟我約 good 九點吃 breakfast
breakfast a93cl4z;4y94ru,3ap6d.3ru.4 good 1j6ul4283bl3w8 ep s06u.3	breakfast 買好放在她門口就 good 不要打擾她跟男友
a93up3xul4qu  open $5z8 qul g4wji6ai u4n7？	買飲料被 open $5發票是蛇摸意思？
w96 j0  bp6 94 fu  large xu.4 ao4	台 灣 人 愛 吃 large 陸 妹
